label,n_drugs,discouraged,systolic_delta,diastolic_delta,has_ace_inhibitor,has_arb,has_beta_blocker,has_calcium_channel_blocker,has_thiazide_diuretic,mean_potency_z,mean_molecular_weight,mean_logp,mean_tpsa,mean_h_bond_donors,mean_h_bond_acceptors,mean_rotatable_bonds,mean_aromatic_rings
lisinopril,1,False,8.951429606063881,4.9496140174706165,1,0,0,0,0,0.6638670677409991,405.5,1.24,132.96,4.0,5.0,12.0,1.0
enalapril,1,False,7.717905395863853,4.26754768947766,1,0,0,0,0,-1.1501391237296283,376.45,1.6,95.94,2.0,5.0,9.0,1.0
ramipril,1,False,8.830664998072269,4.882838293051726,1,0,0,0,0,0.4862720559886315,416.52,2.38,95.94,2.0,5.0,9.0,1.0
losartan,1,False,9.93299094871557,5.496897903658131,0,1,0,0,0,-0.4453993340830462,422.92,4.27,92.51,2.0,5.0,8.0,4.0
valsartan,1,False,9.723271490838755,5.3808395628913495,0,1,0,0,0,-0.6999132392733575,435.53,4.16,112.07,2.0,5.0,10.0,3.0
irbesartan,1,False,11.243737560445672,6.222262533450517,0,1,0,0,0,1.145312573356398,428.54,4.78,87.13,1.0,5.0,7.0,3.0
metoprolol,1,False,9.513054140202579,6.927985080364922,0,0,1,0,0,0.42534529918828684,267.37,1.61,50.72,2.0,4.0,9.0,1.0
atenolol,1,False,8.359226023455927,6.087697212734208,0,0,1,0,0,-1.1423559463914035,266.34,0.45,84.58,3.0,4.0,8.0,1.0
bisoprolol,1,False,9.72771983634149,7.08431770690087,0,0,1,0,0,0.7170106472031135,325.45,2.37,59.95,2.0,5.0,12.0,1.0
amlodipine,1,False,8.547812751107088,5.73091991267407,0,0,0,1,0,-0.3582205239956157,408.88,2.27,99.88,2.0,7.0,8.0,1.0
nifedipine,1,False,9.595359784969958,6.433252583104858,0,0,0,1,0,1.129772421832325,346.34,2.18,107.77,1.0,7.0,4.0,1.0
diltiazem,1,False,8.256827463922956,5.535827504221073,0,0,0,1,0,-0.7715518978367101,414.53,3.37,59.08,0.0,6.0,6.0,2.0
hydrochlorothiazide,1,False,8.8,4.4,0,0,0,0,1,0.0,297.75,-0.35,118.36,3.0,5.0,1.0,1.0
chlorthalidone,1,False,8.8,4.4,0,0,0,0,1,0.0,338.77,0.92,109.49,3.0,4.0,2.0,2.0
indapamide,1,False,8.8,4.4,0,0,0,0,1,0.0,365.84,2.08,92.5,2.0,4.0,3.0,2.0
losartan+amlodipine,2,False,17.501321103732057,10.632743472066595,0,1,0,1,0,-0.401809929039331,415.9,3.2699999999999996,96.195,2.0,6.0,8.0,2.5
losartan+nifedipine,2,False,18.493348144800194,11.297852510964551,0,1,0,1,0,0.3421865438746394,384.63,3.2249999999999996,100.14,1.5,6.0,6.0,2.5
