label,mean_potency,has_ace_inhibitor,has_arb,has_beta_blocker,has_calcium_channel_blocker,has_thiazide_diuretic,mean_molecular_weight,mean_logp,mean_tpsa,mean_h_bond_donors,mean_h_bond_acceptors,mean_rotatable_bonds,mean_aromatic_rings,se__Agranulocytosis,se__Anxiety,se__Arthralgia,se__Cough,se__Decreased appetite,se__Dysgeusia,se__Fatigue,se__Feeling abnormal,se__Hepatitis,se__Hyperhidrosis,se__Hypotension,se__Insomnia,se__Musculoskeletal discomfort,se__Palpitations,se__Photosensitivity reaction,se__Tachycardia,se__Tinnitus,se__Alopecia,se__Angioedema,se__Body temperature increased,se__Discomfort,se__Flushing,se__Gastrointestinal disorder,se__Gastrointestinal pain,se__Ill-defined disorder,se__Leukopenia,se__Malaise,se__Myalgia,se__Nervousness,se__Pain
lisinopril,8.53,1,0,0,0,0,405.5,1.24,132.96,4,5,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ramipril,8.39,1,0,0,0,0,416.52,2.38,95.94,2,5,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
losartan,7.98,0,1,0,0,0,422.92,4.27,92.51,2,5,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
valsartan,7.86,0,1,0,0,0,435.53,4.16,112.07,2,5,10,3,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
irbesartan,8.73,0,1,0,0,0,428.54,4.78,87.13,1,5,7,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
metoprolol,6.92,0,0,1,0,0,267.37,1.61,50.72,2,4,9,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1
atenolol,6.49,0,0,1,0,0,266.34,0.45,84.58,3,4,8,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1
bisoprolol,7.0,0,0,1,0,0,325.45,2.37,59.95,2,5,12,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
amlodipine,5.56,0,0,0,1,0,408.88,2.27,99.88,2,7,8,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
nifedipine,7.72,0,0,0,1,0,346.34,2.18,107.77,1,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diltiazem,4.96,0,0,0,1,0,414.53,3.37,59.08,0,6,6,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
hydrochlorothiazide,,0,0,0,0,1,297.75,-0.35,118.36,3,5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
chlorthalidone,,0,0,0,0,1,338.77,0.92,109.49,3,4,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
indapamide,,0,0,0,0,1,365.84,2.08,92.5,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
